PlayerID,Name,Club,Position,Price (£m),Current Form,Selected By (%),ICT Index,Total Points (Current),Goals (Current),Assists (Current),Clean Sheets (Current),Minutes (Current),Last Season,Minutes (Last Season),Goals (Last Season),Assists (Last Season),Clean Sheets (Last Season),Total Points (Last Season)
1,David Raya Martín,Arsenal,Goalkeeper,5.5,0.0,17.5,76.7,142,0,0,13,3420,2024/25,3420.0,0.0,0.0,13.0,142.0
2,Kepa Arrizabalaga Revuelta,Arsenal,Goalkeeper,4.5,0.0,1.0,75.8,106,0,0,8,2790,2024/25,2790.0,0.0,0.0,8.0,106.0
3,Karl Hein,Arsenal,Goalkeeper,4.0,0.0,0.6,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
4,Tommy Setford,Arsenal,Goalkeeper,4.0,0.0,0.2,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
5,Gabriel dos Santos Magalhães,Arsenal,Defender,6.0,0.0,20.5,108.2,117,3,2,10,2363,2024/25,2363.0,3.0,2.0,10.0,117.0
6,William Saliba,Arsenal,Defender,6.0,0.0,13.7,94.2,130,2,0,12,3039,2024/25,3039.0,2.0,0.0,12.0,130.0
7,Riccardo Calafiori,Arsenal,Defender,5.5,0.0,0.7,54.6,39,2,1,1,978,2024/25,978.0,2.0,1.0,1.0,39.0
8,Jurriën Timber,Arsenal,Defender,5.5,0.0,2.3,94.2,114,1,3,11,2415,2024/25,2415.0,1.0,3.0,11.0,114.0
9,Jakub Kiwior,Arsenal,Defender,5.5,0.0,0.1,39.2,43,1,0,3,1117,2024/25,1117.0,1.0,0.0,3.0,43.0
10,Myles Lewis-Skelly,Arsenal,Defender,5.5,0.0,4.8,40.0,37,1,0,5,1362,2024/25,1362.0,1.0,0.0,5.0,37.0
11,Benjamin White,Arsenal,Defender,5.5,0.0,0.8,51.0,50,0,2,5,1195,2024/25,1195.0,0.0,2.0,5.0,50.0
12,Oleksandr Zinchenko,Arsenal,Defender,5.0,0.0,0.3,24.1,40,0,1,4,518,2024/25,518.0,0.0,1.0,4.0,40.0
13,Brayden Clarke,Arsenal,Defender,4.0,0.0,0.6,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
14,Maldini Kacurri,Arsenal,Defender,4.0,0.0,0.2,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
15,Josh Nichols,Arsenal,Defender,4.0,0.0,0.2,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
16,Bukayo Saka,Arsenal,Midfielder,10.0,0.0,17.3,227.9,127,6,11,7,1724,2024/25,1724.0,6.0,11.0,7.0,127.0
17,Martin Ødegaard,Arsenal,Midfielder,8.0,0.0,3.3,198.8,116,3,9,11,2321,2024/25,2321.0,3.0,9.0,11.0,116.0
18,Noni Madueke,Arsenal,Midfielder,7.0,0.0,1.5,195.3,120,7,5,6,2028,2024/25,2028.0,7.0,5.0,6.0,120.0
19,Gabriel Martinelli Silva,Arsenal,Midfielder,7.0,0.0,1.5,206.1,125,8,4,10,2284,2024/25,2284.0,8.0,4.0,10.0,125.0
20,Leandro Trossard,Arsenal,Midfielder,7.0,0.0,1.1,202.1,152,8,8,11,2546,2024/25,2546.0,8.0,8.0,11.0,152.0
21,Declan Rice,Arsenal,Midfielder,6.5,0.0,7.5,208.8,127,4,7,11,2823,2024/25,2823.0,4.0,7.0,11.0,127.0
22,Mikel Merino Zazón,Arsenal,Midfielder,6.0,0.0,0.8,123.3,92,7,2,4,1575,2024/25,1575.0,7.0,2.0,4.0,92.0
23,Fábio Ferreira Vieira,Arsenal,Midfielder,5.5,0.0,0.0,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
24,Christian Nørgaard,Arsenal,Midfielder,5.5,0.0,0.7,147.9,107,5,5,6,2820,2024/25,2820.0,5.0,5.0,6.0,107.0
25,Ethan Nwaneri,Arsenal,Midfielder,5.5,0.0,0.4,83.0,66,4,2,4,882,2024/25,882.0,4.0,2.0,4.0,66.0
26,Martín Zubimendi Ibáñez,Arsenal,Midfielder,5.5,0.0,2.0,0.0,0,0,0,0,0,,,,,,
27,Reiss Nelson,Arsenal,Midfielder,5.0,0.0,0.2,55.1,27,1,1,1,483,2024/25,483.0,1.0,1.0,1.0,27.0
28,Ismeal Kabia,Arsenal,Midfielder,4.5,0.0,0.3,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
29,Albert Sambi Lokonga,Arsenal,Midfielder,4.5,0.0,0.1,0.0,0,0,0,0,0,2023/24,1304.0,1.0,3.0,2.0,47.0
30,Kai Havertz,Arsenal,Forward,7.5,0.0,1.3,144.8,97,9,3,7,1872,2024/25,1872.0,9.0,3.0,7.0,97.0
31,Gabriel Fernando de Jesus,Arsenal,Forward,6.5,0.0,0.0,52.6,42,3,2,2,600,2024/25,600.0,3.0,2.0,2.0,42.0
662,Cristhian Mosquera,Arsenal,Defender,5.5,0.0,0.1,0.0,0,0,0,0,0,,,,,,
666,Viktor Gyökeres,Arsenal,Forward,9.0,0.0,25.9,0.0,0,0,0,0,0,2018/19,0.0,0.0,0.0,0.0,0.0
32,Emiliano Martínez Romero,Aston Villa,Goalkeeper,5.0,0.0,0.5,86.0,111,0,0,8,3195,2024/25,3195.0,0.0,0.0,8.0,111.0
33,Marco Bizot,Aston Villa,Goalkeeper,4.5,0.0,0.3,0.0,0,0,0,0,0,,,,,,
34,Joe Gauci,Aston Villa,Goalkeeper,4.0,0.0,0.9,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
35,Filip Marschall,Aston Villa,Goalkeeper,4.0,0.0,0.1,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
36,Matty Cash,Aston Villa,Defender,4.5,0.0,1.8,71.3,76,1,1,7,2069,2024/25,2069.0,1.0,1.0,7.0,76.0
37,Lucas Digne,Aston Villa,Defender,4.5,0.0,1.9,120.7,89,0,5,6,2348,2024/25,2348.0,0.0,5.0,6.0,89.0
38,Ezri Konsa Ngoyo,Aston Villa,Defender,4.5,0.0,24.1,82.4,103,2,0,8,2936,2024/25,2936.0,2.0,0.0,8.0,103.0
39,Ian Maatsen,Aston Villa,Defender,4.5,0.0,0.9,74.3,57,1,2,3,1125,2024/25,1125.0,1.0,2.0,3.0,57.0
40,Tyrone Mings,Aston Villa,Defender,4.5,0.0,0.6,34.6,47,0,1,4,1119,2024/25,1119.0,0.0,1.0,4.0,47.0
41,Pau Torres,Aston Villa,Defender,4.5,0.0,0.5,54.0,55,0,0,5,2019,2024/25,2019.0,0.0,0.0,5.0,55.0
42,Andrés García,Aston Villa,Defender,4.0,0.0,0.7,12.0,8,0,0,0,316,2024/25,316.0,0.0,0.0,0.0,8.0
43,Álex Moreno Lopera,Aston Villa,Defender,4.0,0.0,10.8,36.4,34,0,1,3,952,2024/25,952.0,0.0,1.0,3.0,34.0
44,Lamare Bogarde,Aston Villa,Defender,4.0,0.0,0.3,13.3,6,0,0,0,473,2024/25,473.0,0.0,0.0,0.0,6.0
45,Lino da Cruz Sousa,Aston Villa,Defender,4.0,0.0,0.3,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
46,Yasin Özcan,Aston Villa,Defender,4.0,0.0,0.3,0.0,0,0,0,0,0,,,,,,
47,Morgan Rogers,Aston Villa,Midfielder,7.0,0.0,15.5,214.3,161,8,11,10,3115,2024/25,3115.0,8.0,11.0,10.0,161.0
48,Youri Tielemans,Aston Villa,Midfielder,6.0,0.0,2.0,209.6,121,3,7,7,3025,2024/25,3025.0,3.0,7.0,7.0,121.0
49,Leon Bailey,Aston Villa,Midfielder,5.5,0.0,0.5,70.3,47,1,2,2,1132,2024/25,1132.0,1.0,2.0,2.0,47.0
50,Emiliano Buendía Stati,Aston Villa,Midfielder,5.5,0.0,0.2,5.2,11,0,0,0,89,2024/25,89.0,0.0,0.0,0.0,11.0
51,Samuel Iling-Junior,Aston Villa,Midfielder,5.5,0.0,0.0,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
52,Jacob Ramsey,Aston Villa,Midfielder,5.5,0.0,0.6,78.7,66,1,4,5,1616,2024/25,1616.0,1.0,4.0,5.0,66.0
53,Donyell Malen,Aston Villa,Midfielder,5.5,0.0,2.8,38.5,34,3,0,0,296,2024/25,296.0,3.0,0.0,0.0,34.0
54,John McGinn,Aston Villa,Midfielder,5.5,0.0,0.6,103.7,78,1,4,8,2217,2024/25,2217.0,1.0,4.0,8.0,78.0
55,Ross Barkley,Aston Villa,Midfielder,5.0,0.0,0.2,54.8,44,3,1,1,567,2024/25,567.0,3.0,1.0,1.0,44.0
56,Enzo Barrenechea,Aston Villa,Midfielder,5.0,0.0,0.0,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
57,Lewis Dobbin,Aston Villa,Midfielder,5.0,0.0,0.1,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
58,Boubacar Kamara,Aston Villa,Midfielder,5.0,0.0,0.2,60.2,57,1,0,6,1720,2024/25,1720.0,1.0,0.0,6.0,57.0
59,Amadou Onana,Aston Villa,Midfielder,5.0,0.0,1.6,77.0,65,3,0,6,1613,2024/25,1613.0,3.0,0.0,6.0,65.0
60,Ben Broggio,Aston Villa,Midfielder,4.5,0.0,0.3,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
61,Leander Dendoncker,Aston Villa,Midfielder,4.5,0.0,0.4,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
62,Jamaldeen Jimoh-Aloba,Aston Villa,Midfielder,4.5,0.0,0.1,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
63,Kadan Young,Aston Villa,Midfielder,4.5,0.0,0.6,0.0,0,0,0,0,0,2024/25,0.0,0.0,0.0,0.0,0.0
